time,sfe,ssip,rfip,type
"04/02/2022, 15:16:27",-2,-2,1.0,0
"04/02/2022, 15:16:30",-10,-5,1.0,0
"04/02/2022, 15:16:33",-14,-6,1.0,0
"04/02/2022, 15:16:36",-18,-7,1.0,0
"04/02/2022, 15:16:39",-20,-7,1.0,0
"04/02/2022, 15:16:42",-24,-9,1.0,0
"04/02/2022, 15:16:45",-30,-9,1.0,0
"04/02/2022, 15:16:48",-38,-10,1.0,0
"04/02/2022, 15:16:51",-38,-10,1.0,0
"04/02/2022, 15:16:54",-48,-10,1.0,0
"04/02/2022, 15:16:57",-50,-10,1.0,0
"04/02/2022, 15:17:00",-52,-10,1.0,0
"04/02/2022, 15:17:03",-58,-10,1.0,0
"04/02/2022, 15:17:06",-58,-10,1.0,0
"04/02/2022, 15:17:09",-60,-10,1.0,0
"04/02/2022, 15:17:12",-66,-10,1.0,0
"04/02/2022, 15:17:15",-72,-10,1.0,0
"04/02/2022, 15:17:18",-72,-10,1.0,0
"04/02/2022, 15:17:21",-74,-10,1.0,0
"04/02/2022, 15:17:24",-78,-10,1.0,0
"04/02/2022, 15:17:27",-80,-10,1.0,0
"04/02/2022, 15:17:30",-80,-10,1.0,0
"04/02/2022, 15:17:33",-84,-10,1.0,0
"04/02/2022, 15:17:36",-84,-10,1.0,0
"04/02/2022, 15:17:39",-88,-10,1.0,0
"04/02/2022, 15:17:42",-88,-10,1.0,0
"04/02/2022, 15:17:45",-88,-10,1.0,0
"04/02/2022, 15:17:48",-88,-10,1.0,0
"04/02/2022, 15:17:51",-88,-10,1.0,0
"04/02/2022, 15:17:54",-88,-10,1.0,0
"04/02/2022, 15:17:57",-90,-10,1.0,0
"04/02/2022, 15:18:00",-90,-10,1.0,0
"04/02/2022, 15:18:03",-90,-10,1.0,0
"04/02/2022, 15:18:06",-90,-10,1.0,0
"04/02/2022, 15:18:09",-90,-10,1.0,0
"04/02/2022, 15:18:12",-90,-10,1.0,0
"04/02/2022, 15:18:15",-90,-10,1.0,0
"04/02/2022, 15:18:18",-90,-10,1.0,0
"04/02/2022, 15:18:21",-90,-10,1.0,0
"04/02/2022, 15:18:24",-90,-10,1.0,0
"04/02/2022, 15:18:27",-90,-10,1.0,0
"04/02/2022, 15:18:30",-90,-10,1.0,0
"04/02/2022, 15:18:33",-90,-10,1.0,0
"04/02/2022, 15:18:36",-90,-10,1.0,0
"04/02/2022, 15:18:39",-90,-10,1.0,0
"04/02/2022, 15:18:42",-90,-10,1.0,0
"04/02/2022, 15:18:45",-90,-10,1.0,0
"04/02/2022, 15:18:48",-90,-10,1.0,0
"04/02/2022, 15:18:51",-90,-10,1.0,0
"04/02/2022, 15:18:54",-90,-10,1.0,0
"04/02/2022, 15:18:57",-90,-10,1.0,0
"04/02/2022, 15:19:00",-90,-10,1.0,0
"04/02/2022, 15:19:03",-90,-10,1.0,0
"04/02/2022, 15:19:06",-90,-10,1.0,0
"04/02/2022, 15:19:09",-90,-10,1.0,0
"04/02/2022, 15:19:12",-90,-10,1.0,0
"04/02/2022, 15:19:15",-90,-10,1.0,0
"04/02/2022, 15:19:18",-90,-10,1.0,0
"04/02/2022, 15:19:21",-90,-10,1.0,0
"04/02/2022, 15:19:24",-90,-10,1.0,0
"04/02/2022, 15:19:27",-90,-10,1.0,0
"04/02/2022, 15:19:30",-90,-10,1.0,0
"04/02/2022, 15:19:33",-90,-10,1.0,0
"04/02/2022, 15:19:36",-90,-10,1.0,0
"04/02/2022, 15:19:39",-90,-10,1.0,0
"04/02/2022, 15:19:42",-90,-10,1.0,0
"04/02/2022, 15:19:45",0,0,1.0,0
"04/02/2022, 15:19:48",-90,-10,1.0,0
"04/02/2022, 15:19:51",-90,-10,1.0,0
"04/02/2022, 15:19:54",-90,-10,1.0,0
"04/02/2022, 15:19:57",-90,-10,1.0,0
"04/02/2022, 15:20:00",-90,-10,1.0,0
"04/02/2022, 15:20:03",-90,-10,1.0,0
"04/02/2022, 15:20:06",-90,-10,1.0,0
"04/02/2022, 15:20:09",-90,-10,1.0,0
"04/02/2022, 15:20:12",-90,-10,1.0,0
"04/02/2022, 15:20:15",-90,-10,1.0,0
"04/02/2022, 15:20:18",-90,-10,1.0,0
"04/02/2022, 15:20:21",-90,-10,1.0,0
"04/02/2022, 15:20:24",-90,-10,1.0,0
"04/02/2022, 15:20:27",-90,-10,1.0,0
"04/02/2022, 15:20:30",-90,-10,1.0,0
"04/02/2022, 15:20:33",-90,-10,1.0,0
"04/02/2022, 15:20:36",-90,-10,1.0,0
"04/02/2022, 15:20:39",-90,-10,1.0,0
"04/02/2022, 15:20:42",-90,-10,1.0,0
"04/02/2022, 15:20:45",-90,-10,1.0,0
"04/02/2022, 15:20:48",-90,-10,1.0,0
"04/02/2022, 15:20:51",-90,-10,1.0,0
"04/02/2022, 15:20:54",-90,-10,1.0,0
"04/02/2022, 15:20:57",-90,-10,1.0,0
"04/02/2022, 15:21:00",-90,-10,1.0,0
"04/02/2022, 15:21:03",-90,-10,1.0,0
"04/02/2022, 15:21:06",-90,-10,1.0,0
"04/02/2022, 15:21:09",-90,-10,1.0,0
"04/02/2022, 15:21:12",-90,-10,1.0,0
"04/02/2022, 15:21:15",-90,-10,1.0,0
"04/02/2022, 15:21:18",-90,-10,1.0,0
"04/02/2022, 15:21:21",-90,-10,1.0,0
"04/02/2022, 15:21:24",-90,-10,1.0,0
"04/02/2022, 15:21:27",-90,-10,1.0,0
time,sfe,ssip,rfip,type
"04/02/2022, 15:22:24",-238,-238,1.0,1
"04/02/2022, 15:22:27",-536,-536,1.0,1
"04/02/2022, 15:22:30",-833,-833,1.0,1
"04/02/2022, 15:22:33",-1018,-1018,1.0,1
"04/02/2022, 15:22:36",-1217,-1217,1.0,1
"04/02/2022, 15:22:39",-1416,-1416,1.0,1
"04/02/2022, 15:22:42",-1614,-1614,1.0,1
"04/02/2022, 15:22:45",-1813,-1813,1.0,1
"04/02/2022, 15:22:48",-2002,-2002,1.0,1
"04/02/2022, 15:22:51",-2107,-2107,1.0,1
"04/02/2022, 15:22:54",-2256,-2256,1.0,1
"04/02/2022, 15:22:57",-2406,-2406,1.0,1
"04/02/2022, 15:23:00",-2555,-2555,1.0,1
"04/02/2022, 15:23:03",-2704,-2704,1.0,1
"04/02/2022, 15:23:06",-2854,-2854,1.0,1
"04/02/2022, 15:23:09",-3002,-3002,1.0,1
"04/02/2022, 15:23:12",-3080,-3080,1.0,1
"04/02/2022, 15:23:15",-3200,-3200,1.0,1
"04/02/2022, 15:23:18",-3319,-3319,1.0,1
